ID,NAME,MONTH,YEAR,RAIN,TMEAN
6,Pongola - SASRI,8,1989,12.8,20
6,Pongola - SASRI,9,1989,7.3,20.7
6,Pongola - SASRI,10,1989,83.3,21.7
6,Pongola - SASRI,11,1989,384.5,22.7
6,Pongola - SASRI,12,1989,128.9,24.2
6,Pongola - SASRI,1,1990,55,25.1
6,Pongola - SASRI,2,1990,76.6,24.5
6,Pongola - SASRI,3,1990,54.7,24.1
6,Pongola - SASRI,4,1990,55.1,22.3
6,Pongola - SASRI,5,1990,3,18.7
6,Pongola - SASRI,6,1990,0,16.9
6,Pongola - SASRI,7,1990,2.6,17.3
6,Pongola - SASRI,8,1990,17.8,17.4
6,Pongola - SASRI,9,1990,5.5,19.7
6,Pongola - SASRI,10,1990,53.3,22.1
6,Pongola - SASRI,11,1990,51.5,23.4
6,Pongola - SASRI,12,1990,77.9,24.3
6,Pongola - SASRI,1,1991,199.2,25.7
6,Pongola - SASRI,2,1991,228.9,25
6,Pongola - SASRI,3,1991,71.2,23.5
6,Pongola - SASRI,4,1991,11,21.6
6,Pongola - SASRI,5,1991,71.2,19.2
6,Pongola - SASRI,6,1991,49.5,15.8
6,Pongola - SASRI,7,1991,12,16.4
6,Pongola - SASRI,8,1991,2,17.6
6,Pongola - SASRI,9,1991,22.5,20.7
6,Pongola - SASRI,10,1991,24.3,22.6
6,Pongola - SASRI,11,1991,96.1,24.2
6,Pongola - SASRI,12,1991,79.7,24.4
6,Pongola - SASRI,1,1992,99.6,25.7
6,Pongola - SASRI,2,1992,87.1,26.4
6,Pongola - SASRI,3,1992,14.7,24.7
6,Pongola - SASRI,4,1992,16,23.9
6,Pongola - SASRI,5,1992,0,19.5
6,Pongola - SASRI,6,1992,9.7,17.1
6,Pongola - SASRI,7,1992,0,16.8
6,Pongola - SASRI,8,1992,0,17.4
6,Pongola - SASRI,9,1992,4,21.7
6,Pongola - SASRI,10,1992,37.2,23.4
6,Pongola - SASRI,11,1992,85.1,23.9
